text,Label
"As much as I love living in South Phoenix, one of the things we lack here is good pizza. Whenever, I'm on the north side and wanting good pizza I stop at Pat's. My two favorite pizzas are just a plain pepperoni and their garlic chicken pesto. The pepperoni is simple grace, fresh tomato flavor bursting through the browned cheese flavor and crisp crunchy crust. It is sublime simplicity.  The garlic chicken pesto is the opposite side of the spectrum. A melody of flavor; garlic, pesto, jalapeños that provide a tiny bit of heat and another dimension to the flavor. It's all rounded out with little pieces of chicken and chopped fresh tomatoes, all on top of their crispy delicate crust. Pats is built for take out, but they do have a few tables. I drove the pizza from their address to my house near south mountain and it was still hot and crunchy. Give them a try.",real
I love the whisper light Gnocchi.And I like the pretty lights...,real
This place has amazing pizza! And the salads are really fresh. You also can't go wrong with one of their pastas. Everything at this place is literally made from scratch. That's hard to come by.,real
"I'm a self-described foodie on a budget. This place seriously has the most epic hamburgers I have ever had in my life. The level of creativity that goes into the burgers of the week is awesome. My husband and I just moved from the Bay Area where we had all kinds of diverse food at our fingertips.  We would travel up and down the peninsula and up to Napa to find the best happy hours, restaurants, dives, and epic foodness. Well, I can tell you one thing.  If this place were in the Bay Area you'd probably have to wait hours to get in the door for what they are serving up! The first burger we tried was a menu staple - the brulee. And the second burger was a burger of the week - the bananas foster.  You may be thinking that bananas on a burger would be just weird, but it was a bite into gourmet burger heaven! From then on went 1-2 times a week for about a month and a half straight.  The burger of the week keeps us coming back over and over again.  And prices? Seriously, 7 bucks for a burger that is this epic?  I would gladly and willingly pay more.  And no joke, if this place was in the Bay Area, you could easily double the price and people wouldn't blink an eye. I read in another review, that someone wanted ""ambiance."" Well, this is the best gosh dang burger you'll have in your life.  If they wanted burger ""ambiance"" then they could visit burger king.  It's literally steps away in the parking lot.  Such a shame too... Every time I leave Paradise burger, I wonder how so many people in the drive through at ""have it your way - but really our way"" can feel satisfied at that meal. I also wonder if they know that they are passing up such a gem!One last thing.  They have a magicness of a dessert called ""french toast fries."" They are basically all the best crunchy bits you get from the corners and edges of french toast served up with a warm side of syrup. These should never ever be removed from the menu!Okay, I really could go on and on.  If you want a food experience go here!  If you are another sheep following the crowd and want to sacrifice taste for ""ambiance"" then you don't belong here anyway... go ""have it your way"" somewhere else.",real
"Fantastic food, friendly staff and great specials.  This will be our new go-to sushi spot!",fake
"This place is beyond delicious. I bought the ""Ono-est,"" which is the large platter. It comes with 3 meat servings and 2 sides. Both times I've gone, I had the chicken teriyaki, kahlua pig and palehu steak for my meats. Kim chi slaw is UNREAL and the macaroni salad is perfect. This last time I forgot the sauces they offer on the side and was already at home when I realized this. I was bummed, but after I started eating... The food is seasoned so well, it doesn't even need sauce. ESPECIALLY the kahlua pig. We will be back again and again.",real
The best pho in town. One of the best arepas you can get! This is a restaurant with the best taste of the breakfast burritos that change that myself! It was all  truly needs okay convertation.  It's the best.,fake
This is a great place to chill with friends and have a burger. The salsa bar is one of the best servers I've ever had in my life!  We will definitely come back!!,fake
One of the best places to grab a bit of the delicious Turkey Chili Toast!!!! Can't wait to try another dish. The open layout to accommodate you and explain the menu. Definitely worth the price if you can sit down right away and the prices are cheap and the food is amazing! This place is always so good! The service is always top notch. The lady that runs the bottoo was very friendly. A must go!A gem and will be a regular here.,fake
"THE BEST STREET CORN YOU WILL EVER EAT. Yes, all caps called for on that one. Everything my partner and I ordered was exceptional. The freshly muddled strawberry margaritas, the little delicious chip things that I can't remember the name of but CAN remember the taste of, the fabulous assortment of tacos. I will 100% go back to Canteen next time I'm in Madison.",real
"Wow!  Their menu is spectacular!  In comparison to the various other restaurants that serve ""pizza and the like,"" you can't go wrong with the prices and even moreso, the variety of ingredients Sammy's has!For starters, their mini duck tacos were outstanding!  Whoa, a small biteful that gives your mouth a bang with their feta cheese, tomatoes, cabbage and a creamy tomato-cilantro sauce!  THE KIDS ATE IT!  That's enough for me to say!  Wished I could have eaten more of it...To give you an idea of what's on the menu for appetizers, there's hummus w/ground kobe beef, Mediterranean or coconut shrimp skewers, baba ghanoush, and Thai chicken satay to name a few.My husband and I chose their Artisan thin crust pizzas.  His was the Dorothea and Oven Roasted Tomato, made with this aged goat cheese that was to die for!!!  AAHHH!  Delicious!  I had the Brie Cheese with Truffle Oil pizza with sauteed wild mushrooms.  It was tasty, although nothing compared to the Dorothea goat cheese!  Mmmm!  All I can say about mine was that I wished it had more mushrooms on it, and possibly, more of my husband's goat cheese on it!  Hah!  Their woodfired pizza also offer different crusts from whole wheat, to even gluten-free.  The rest of the menu hosts a variety for every diet needs, from vegan to dairy-free selections to the most newest and finer ingredients that outshine most comparable restaurants of this style.The service was excellent!  Our server was so friendly and polite with us.  She had even offered to bring out their ""Messy Sundae"" for our 5-year old daughter - it was her birthday dinner here!  We didn't even mention it to our server, but it was kind of her to suggest it!  Of course, it was birthday discounted, so that made it much more nicer of our server!Although this place looks bar-sy, it's hard to believe that soo many families dine here!  We love it!  This is definitely our new family restaurant!  What's even better, is the fact that they have ""Happy Hour"" between 4pm and 6pm daily!  50% off of some of their menu items!  This is the reason why we are definitely making a return trip soon!",real
"Came here for a friend bday celebration, this place is beautiful not to far from the strip prices are affordable food is amazing !!Has a big variety of beers as well live music such a cool chick place go to with family or a date",real
"We love this place! Food is great, service is great and the whole staff are cool. My favorite is the chicago style pizza!",fake
"Best night dining experience at the Fallonal Casino District. Sit at the bar and get , a little on the pricey side. Bowling was amazing.",fake
This is one of the best all you can eat sushi places on my side of town. First time trying I will definitely come back especially for those bacon wrapped scallops!! Yum,real
"It is fantastic that this place has opened on my way home! The ham and bean soup is spicy and delicious, and the chicken is moist and flavorful. I've never had Nashville hot chicken so can't compare, but even if they're different I would be happy to get the hot chicken, as it's spicy and the hilarious white bread makes a great counterpoint. I wish them the best and will be back often!",real
Great find!  Special order had tons of flavor and the crust is so flavorful. The kids had a group of 16 with my wife and boy did an amazing job. The food was awesome and the staff are very attentive. Definitely recommend.,fake
"Amazing! Fantastic people - great people? We were pleased with her food was fresh and flavorful, the coffee was pretty good as well. We will be back!",fake
This is the First time I ordered with all the other cup of coffee with excellent service and food. I will be back!,fake
"I got a chance to try their baked goods! Result? They get bumped up to a full five stars in my books. Meringue, cinnamon bun, sticky bun, chocolate croissant, butter croissant, tiramisu, apricot tart, pecan butter tart, white chocolate loaf, IT'S ALL GOOD. Check out my previous edition of my review for my opinion on the macarons. One of the best bakeries in Mississauga, bar none.",real
Best place for Mexican food in Phoenix. Everything I've had here has been fantastic. Would definitely recommend a different meal here. Would definitely come back if in a hurry.,fake
"Hands down the best burger in Madison. The food is complex yet simple. They start with a great base which is high quality meat. Then they get creative and add amazing flavor combinations to their burgers. There is nothing better than a burger from Dotty's on a game day, or on any other day of the week. The atmosphere is wonderful and you can't help but get into the Madison experience while eating there.",real
I decided to come here off the recommendation of another yelper.  I'm always on the look out for a good authentic sandwich.  I'm normally not on this side of town but I happened to be in this area so I went on Yelp and got directions. Even with seeing photos of the place on Yelp I drove right by the place still.  After I regained my composure I found it.  Upon walking up to the window the main guy steps out to take my order.  The menu is pretty self explanatory so I ordered 2 Reuben's  and a Patty.  The total came out to be around 27 dollars.  It took about 10 minutes to make and he walked the order out to me.  Classy service.  The owner is down to earth and definitely friendly.  The Patty is probably the best Patty I've had in my life.  It's the ingredients! Definitely give this Patty a try.The Reuben was definitely the bomb as well.  Fresh corn beef not that store bought imitation stuff.  I'll definitely be going back in the future.  They have plans to move to a brick and mortar place that I assume you will be able to eat inside.  I just hope as they expand they don't lose the quality in the food that makes them different from everybody else.,real
"Great food great services, with a family atmosphere.  The beer isn't so bad at all.  Will definitely comeback here every time, try the dozen food entree.",fake
"For those who don't know, almost every casino has at least one 24-hour restaurant.  In the old days, it was just a diner where you could get a mediocre burger, or a couple fried eggs,at 3am.  For most of the casinos, these places still serve up mostly uninspiring eats.  There are, IMHO, only 3 really good ones that are not only worth stopping by at 3am, but also worth seeking out at any hour of the day.  And The Henry is the most centrally located of the three, so we end up eating here on most trips. Admittedly, usually at 3am though.  (The other 2, for the record, are the fantastic Citizens @ Mandalay Bay and Grand Lux Cafe @ Venetian and Palazzo.)The Henry has a much more upscale feel than a standard diner, with plush leather booths and chairs, nice silver, and cloth napkins.  The menu is simple, but it has the essentials: burgers, breakfast anytime, etc.  My favorite item is, by far, the French Dip.  Nicely toasted, never soggy on the bottom, bun, quality beef, and a delicious, not-to-salty au jus.  If you are a first timer, you should absolutely try the truffle tater tots with whatever you get, although their basic fries are excellent as well.  They have a few fun specialty cocktails as well, and their location, right near the north entrance is both convenient, as well as great for people watching  or listening to the music coming from the bar next door.  (It can be noisy late night, but that can be part of the fun.  Just be aware, its often not a quiet place to eat.)",real
We used Uber Eats and also tried this restaurant for the first time. We are super impressed. The food was excellent!We ordered:Aloha DogConey DogChicago DogItalian Beef Sandwichside of pulledporkKids MealLOVED everything but the pulled pork. There was not enough sauce on it and they put chopped onions on it. We tried a couple bites and my husband and I did not like it.But everything else was GREAT! We will definitely order here again.Great job guys!,real
"I love coming here for food. Sandwiches (full montague mm...) are too die for (especially while drinking) and even the salads and fruit parfaits are good! Best of all is that its 24 hours! That bumped it up from 4 to 5 stars! PS: Just to clarify, the sandwiches melt in your mouth...juicy, cheesy, meaty...yum yum yum!",real
I get the chicken pasta salad every time and am never disappointed! My boyfriend and I also love going their for happy hour when we get off work at 5. They have great 3 dollar margaritas and hummus!,real
"Love this place. I've been three times, once for pizza, then penne in vodka sauce, and most recently spaghetti with meat sauce. Absolutely everything is made fresh and I can taste every bit of it! The sauces are fantastic. Next time I'm trying the pesto. I don't even like pesto, but that's how much I enjoy the food here. The service is great too. Very friendly and warm staff. Feels like home.",real
"I loved this place! They have great food, mostly bbq style stuff, and they serve late on weekends. I loved the decor and the mason-jar lighting on the ceiling, too. I came in on Friday around 9, and people were starting to roll in. By 11:30, it was so much fun. People were line dancing, riding the bull, outside on the patio, it just has a great vibe to it on weekend nights. So happy there's a country bar on Mill!",real
Best spot in Las Vegas! Hamachi is amazing!  Staff is always friendly.  Very good service!!  Great food great service and I am always sure to go there about once a week. The staff is friendly. It's a must try for a quick lunch but did I mention good food on the TVs and our waitress was amazing! Thanks for the great service! :),fake
Fast and friendly service! The atmosphere is just cozy and the crust is especially delicious.,fake
"Thin crust, cheesy, finger licking goodness! Great family atmosphere friendly service our Sunday spot for fam bam day! My kids love this place I love this place and its inexpensive",real
"Best Vietnamese food ever. I'm so glad my boss recommended this place. It's a small mom and pop shop but their pho, rice dishes and macaroon ice cream sanwhiches are delicious. I am a total regular. Everyone is super friendly. I even call in my orders to go and my order is ready in 10 mins.",real
"Probablement mon coup de coeur éternel ! Je connais ce resto depuis 1998 et j'y vais même depuis que j'ai quitté Montréal. Goûtez la spécialité de la maison,soit les pupusas mélange à trois !Longue vie à ce resto Salvadorien !",real
"Awesome service friendly service and food.  Huge portions, very good, friendly service.",fake
This a great place to get some Great dinner.  The food is delicious and there sauces are always good too. I would recommend this place and always ask for Halibut.,fake
"The food is great, service is excellent and the prices are great!  Staff is friendly, happy hour menu is excellent.  Beer selection is great as well. This is one of our favorite dishes in Vegas.",fake
Super cute and welcoming staff and the food is amazing. Very pleased with all of the food and drinks were all really good and the prices were great!!!!,fake
Had the bernie and eggs but they were amazing! The sauce and potatoes were fantastic with the bean dip and salsa,fake
"This place is my favourite deli on the way home. Service is great. The owner is friendly and welcoming, and the food is great.",fake
Remedy a is my favorite bar because Rafal Brzesut is a very professional bar tender. Ilove this palce.,real
"Great hospitality and amazing food.  I had the tamales and they were AMAZING!  Service was great and the service was great!  Perfect place to come with friends, family & have trouble finding a vegan meal before they closed here that I went here. The food was great and the service was on point. Our server Alyssa was friendly! Thank you!",fake
Great night with my fianc had the special of the day. Can't wait to try the Pho!,fake
"We were visiting Vegas and nothing was better, I had the kids meals and keep going back there to get a nap brew!",fake
"The food is so good.   Service was outstanding, the food was also really good!  I will definitely be returning and trying more.  Under new favorite booths though.",fake
"We had the Southern Style in my boss. The ladies here were nice and helpful. The food is fresh, tasty, and the service is friendly. I been going here for years. Their fresh fish is amazing. The service is super friendly, and the price is very reasonable! I always get the Napoleon and my husband had salmon and my husband had the pulled pork and both were excellent! The service was phenomenal it was excellent. The staff had great customer service and the food was unparalleled. Thanks to the staff they served with live up to its different room here. I will definitely be back.",fake
"My husband and I loved this place and can't wait to bring our friends.It's a cosy and fairly dark place and you will likely face a long lineup but Ossington is a great place for a stroll while you wait. Pricing is also very reasonable.We got the Avacado Slaw (amazing- will order again), the squash poutine (definitely recommend), the Kim Chi pork belly (won't blow you away but good value and tasty), and the loosy (greasy but worth it!).Overall we really enjoyed our experience and are looking forward to going back.",real
"This is the absolute best BBQ I have ever eaten. The Brisket is tender, the pork ribs are meaty, the grits are to die for (seriously order those grits). Quinton is a god at cutting meat and that guy James at the register is one of the most customer friendly people that I have ever interacted with. The owner, Scott, has a great love for BBQ and it shows in the quality of the meat that is smoked there daily. Get in line early for that Fatty Brisket. If you have room saved for dessert, Bekke's smoked pecan pies are amazing, just make sure to share them among friends because a whole one can be deceptively sweet for my personal taste in one sitting, but the pie is perfect and decadent to enjoy the other half later when I binge watch Netflix (seriously.... add on that pie). I have been here many times and each time is much better than the last. 5 out of 5 stars (sadly there isn't a 6th star I can add to my rating)",real
"Best steak in the city with a beautiful dining room and an amazing view of downtown Vegas. The location downtown and the particular casino where the restaurant is located may be a bit deceiving, but overall, it's a favorite where I'd take anyone I was looking to impress with a great dinner.",real
"Make sure to bus your own baskets/plates! Do not base your order off of mine, I require exponentially more calories per day than the average Joe, this would suffice for multiple people.I had the Papi Venezolano. It was great but heavy for a single person with additional items coming (it's a fried food sampler). I would say this would be enough for 2-3 people to share as an app. Everything was delectable but be careful Hot!I also had 2 Arepas- one with black bean White Cheese and shredded beef, another with Ham and White Cheese. The triple ingredient one was a little sloppy to eat but delicious! Areas come solo no sides and absolutely piping hot off the grill, but they are delicious!For my sweets I had the Pie de Parchita. Oh my, god that thing is awesome.... Its a passionfruit pie(ce) of mother fucking heavennnnnnn.... Do it.All in all it was very affordable for the amount of calories and the filling nature! I highly recommend this restaurant!",real
Fun atmosphere. Good food. Friendly service. Lots and lots of beers on tap at affordable prices. This is a nice hangout.,real
"Service was awesome. She  no working at the casinos this morning.  Wednesdays they have a lot of variety and is a bit small but the food is delicious! The prices are very reasonable, the best and the best empanadas I've had in mesa area. Highly recommended!",fake
"Get the mahi-mahi fish tacos! I've tried all three types here and others all over the city. Mahi-mahi or bust baby! Le best. I also enjoyed the 90's era throwback tunes that were on while I was in and the atmosphere was very ""Dundas West,"" for now that's still in a good way. Haha. Just kidding. Loved it.",real
"Best Tex-Mex/American Mexican food in Vegas.  This is our favorite restaurant.  Jose is the best server ever.  Very nice and attentive.  Never had any issues with him.  I've met the managers Kristyan, John and Debbie and they're awesome too.  You can tell they care about their customers.  I try to come here at least once a week.  Best food ever!  Best salsa ever!  Best refried beans ever!",real
This place is awesome! The owner is a staff and give you a real treat,fake
The food is great! Our go to when in the area to go to this shop while on vacation . The service and the food were excellent. The staff was extremely knowledgeable and made it easy and funny.,fake
Our favorite Mexican food! Chicken and waffles were excellent not to spicy to be solided. The corn bread was the best I've ever had in my entire life. I will be back next time I'm in Vegas!,fake
"Great food, great service, great atmosphere. The staff was friendly and the food was delicious.",fake
Delicious dinner at Robertos! The best kept secret of the Disney we meet about the same if  it would be nice.  We will definitely be back for more and more!,fake
"Best bagels in town. Always fresh and delicious! I love the atmosphere, and the staff is really friendly. I recommend this place for a well trained menu and a full bar.",fake
"After a few tries, we came back and gave it another go. We brought friends and they had an amazing time. Food was great! Service... above ratings! If you can request to sit in Nicole's section, do it!!!! She is amazing server with lots of knowledge and enthusiasm! She made us feel welcomed, well taken care of, and always polite with a smile on her face! If you can get the Groupon do it! Caipirinhas are off the hook!",real
My favorite local pizza place. I get my chocolate flavor but sausage burrito. The breakfast sandwich was delicious.,fake
"Love all the staff, fresh ingredients, and the freshest fish I have tried ever. Will be coming back when I'm in the area.",fake
Sad that it took me soooo long to check this place out - wicked good beef momos - their hot sauce is FIRE - and super reasonable price - 10 x momo's and a pop for under $8!,real
"When I was a kid, me and my dad and grandma would go to here a lot. We left feeling good a lot. We once went here for Thanksgiving. Much to my dismay, this location closed and might be demolished.",real
"I cannot speak to the experience others have had but for me - lawd Jesus this food is GOOD! I've had the fried catfish, black eyed peas, cabbage and corn bread. Planning soon to return and try the fried chicken and smothered pork chops.",real
"One of my favorite places to go for a fantastic evening. Cioppino isn't huge, it's not too trendy, and while a bit pricey, it is worth it. The wine list is substantial, and the appetizers all look delicious, but don't skip the bread because of the basil olive oil dipping sauce. I could drink it, it's that amazing. Jazz in the bar on some evenings and a pretty back room for larger groups.",real
Great neighborhood place with solid food selection and the atmosphere was amazing. I plan on going back ever since the opened .,fake
"Food, drinks and staff were awesome! Had black bean sliders, shrimp and grits ( off the chain!), salad with goat cheese, sea scallops! Cocktails made perfect!",real
"In a convention and poutine and chai tea side of the outside, but that can we bought some pork belly with chicken. It was really good!",fake
I had the best steak sandwich I have had in a while. The filet mignon sandwiches are some of the best I've had. Ask for Jen the bartender. She always delivers !,fake
"Good food and nice outdoor seating.   I had the lamb chops, salmon and it was great.  One of the best I have had in a long time.  The prices are great, would definitely recommend it to anyone.",fake
"The donuts here are so fresh! It's such a treat when go. My favorite is the the orange glazed one, it's lightly done and not overpowering! A-mazing!",real
"I love the meatball sandwich the best so far, but everything I have eaten is been really good.",real
Love this place!  The staff and the food is amazing and the cooks where very friendly as well.  We loved the decor and atmosphere.,fake
"I don't know a single person who doesn't like Jollibee, like I've converted all my friends. The fried chicken is out of this world with that amazing batter, alongside with some steamed rice. Like Wingstop and Popeyes need to start serving white steamed rice with their chicken because it's awesome! And don't get me started on the palabok. Don't get me wrong, I love homemade, but this palabok hits the spot every single time. I really like this location in Seafood City because it's convenient, but I've had the same great food and service at the other location.",real
Came here for lunch after a long night at the strip and a few hours of rest..service was quick and the dudes were friendly...the place was clean food was great..butt afterall it is in n out haha,real
